CODICE ATECO 2025;PREFLABEL_IT;PREFLABEL_EN;PREFLABEL_DE
10.32.0;Produzione di succhi a base di frutta e ortaggi;Manufacture of fruit and vegetable juice;Herstellung von Frucht- und Gemüsesäften
10.32.00;Produzione di succhi a base di frutta e ortaggi;Manufacture of fruit and vegetable juice;Herstellung von Frucht- und Gemüsesäften
10.39;Altre attività di lavorazione e conservazione di frutta e ortaggi;Other processing and preserving of fruit and vegetables;Sonstige Verarbeitung von Obst und Gemüse
10.39.0;Altre attività di lavorazione e conservazione di frutta e ortaggi;Other processing and preserving of fruit and vegetables;Sonstige Verarbeitung von Obst und Gemüse
10.39.00;Altre attività di lavorazione e conservazione di frutta e ortaggi;Other processing and preserving of fruit and vegetables;Sonstige Verarbeitung von Obst und Gemüse
10.4;Produzione di oli e grassi vegetali e animali;Manufacture of vegetable and animal oils and fats;Herstellung von pflanzlichen und tierischen Ölen und Fetten
10.41;Produzione di oli e grassi;Manufacture of oils and fats;Herstellung von Ölen und Fetten, ohne Margarine u. Ä. Nahrungsfette
10.41.1;Produzione di olio di oliva;Manufacture of olive oil;Herstellung von Olivenöl
10.41.10;Produzione di olio di oliva;Manufacture of olive oil;Herstellung von Olivenöl
10.41.2;Produzione di altri oli vegetali;Manufacture of vegetable oils, other than olive oil;Herstellung von anderen pflanzlichen Ölen
10.41.20;Produzione di altri oli vegetali;Manufacture of vegetable oils, other than olive oil;Herstellung von anderen pflanzlichen Ölen
10.41.3;Produzione di oli e grassi animali;Manufacture of animal oils and fats;Herstellung von tierischen Ölen und Fetten
10.41.30;Produzione di oli e grassi animali;Manufacture of animal oils and fats;Herstellung von tierischen Ölen und Fetten
10.42;Produzione di margarina e di grassi alimentari simili;Manufacture of margarine and similar edible fats;Herstellung von Margarine u. Ä. Nahrungsfetten
10.42.0;Produzione di margarina e di grassi alimentari simili;Manufacture of margarine and similar edible fats;Herstellung von Margarine u. Ä. Nahrungsfetten
10.42.00;Produzione di margarina e di grassi alimentari simili;Manufacture of margarine and similar edible fats;Herstellung von Margarine u. Ä. Nahrungsfetten
10.5;Produzione di prodotti lattiero-caseari e gelati;Manufacture of dairy products and edible ice;Herstellung von Milcherzeugnissen und Speiseeis
10.51;Produzione di prodotti lattiero-caseari;Manufacture of dairy products;Herstellung von Milcherzeugnissen
10.51.1;Trattamento igienico del latte;Processing of liquid milk;Sterilisierung der Milch
10.51.10;Trattamento igienico del latte;Processing of liquid milk;Sterilisierung der Milch
10.51.2;Produzione di derivati del latte;Manufacture of other dairy products;Herstellung von Milchprodukten
10.51.20;Produzione di derivati del latte;Manufacture of other dairy products;Herstellung von Milchprodukten
10.52;Produzione di gelati;Manufacture of ice cream and other edible ice;Herstellung von Speiseeis
10.52.0;Produzione di gelati;Manufacture of ice cream and other edible ice;Herstellung von Speiseeis
10.52.00;Produzione di gelati;Manufacture of ice cream and other edible ice;Herstellung von Speiseeis
10.6;Lavorazione di granaglie, produzione di amidi e di prodotti amidacei;Manufacture of grain mill products, starches and starch products;Mahl- und Schälmühlen, Herstellung von Stärke und Stärkeerzeugnissen
10.61;Lavorazione di granaglie;Manufacture of grain mill products;Mahl- und Schälmühlen
10.61.1;Lavorazione di frumento e altri cereali;Wheat and grain milling;Verarbeitung von Weizen und anderem Getreide
10.61.11;Lavorazione di frumento;Wheat milling;Verarbeitung von Weizen
10.61.19;Lavorazione di altri cereali;Grain milling, other that wheat milling;Verarbeitung von anderem Getreide
10.61.2;Lavorazione del riso;Rice milling;Verarbeitung von Reis
10.61.20;Lavorazione del riso;Rice milling;Verarbeitung von Reis
10.61.9;Lavorazioni di altre granaglie;Manufacture of other grain mill products;Andere Mahl- und Schälmühlen
10.61.90;Lavorazioni di altre granaglie;Manufacture of other grain mill products;Andere Mahl- und Schälmühlen
10.62;Produzione di amidi e di prodotti amidacei;Manufacture of starches and starch products;Herstellung von Stärke und Stärkeerzeugnissen
10.62.0;Produzione di amidi e di prodotti amidacei;Manufacture of starches and starch products;Herstellung von Stärke und Stärkeerzeugnissen
10.62.00;Produzione di amidi e di prodotti amidacei;Manufacture of starches and starch products;Herstellung von Stärke und Stärkeerzeugnissen
10.7;Produzione di prodotti da forno e farinacei;Manufacture of bakery and farinaceous products;Herstellung von Back- und Teigwaren
10.71;Produzione di pane; produzione di prodotti di pasticceria freschi;Manufacture of bread; manufacture of fresh pastry goods and cakes;Herstellung von Backwaren, ohne Dauerbackwaren
10.71.1;Produzione di pane e prodotti di panetteria simili;Manufacture of bread and similar products;Herstellung von Brot und ähnlichen Backwaren
10.71.10;Produzione di pane e prodotti di panetteria simili;Manufacture of bread and similar products;Herstellung von Brot und ähnlichen Backwaren
10.71.2;Produzione di prodotti di pasticceria freschi;Manufacture of fresh pastry goods and cakes;Herstellung von frischen Feinbackwaren
10.71.20;Produzione di prodotti di pasticceria freschi;Manufacture of fresh pastry goods and cakes;Herstellung von frischen Feinbackwaren
10.72;Produzione di fette biscottate, biscotti, prodotti di pasticceria conservati;Manufacture of rusks, biscuits, preserved pastries and cakes;Herstellung von Dauerbackwaren
10.72.0;Produzione di fette biscottate, biscotti, prodotti di pasticceria conservati;Manufacture of rusks, biscuits, preserved pastries and cakes;Herstellung von Dauerbackwaren
10.72.00;Produzione di fette biscottate, biscotti, prodotti di pasticceria conservati;Manufacture of rusks, biscuits, preserved pastries and cakes;Herstellung von Dauerbackwaren
10.73;Produzione di prodotti farinacei;Manufacture of farinaceous products;Herstellung von Teigwaren
10.73.0;Produzione di prodotti farinacei;Manufacture of farinaceous products;Herstellung von Teigwaren
10.73.01;Produzione di prodotti farinacei freschi;Manufacture of fresh farinaceous products;Herstellung von frischen Teigwaren
10.73.02;Produzione di prodotti farinacei conservati;Manufacture of preserved farinaceous products;Herstellung von haltbar gemachten Teigwaren
10.8;Produzione di altri prodotti alimentari;Manufacture of other food products;Herstellung von sonstigen Nahrungsmitteln
10.81;Produzione di zucchero;Manufacture of sugar;Herstellung von Zucker
10.81.0;Produzione di zucchero;Manufacture of sugar;Herstellung von Zucker
10.81.00;Produzione di zucchero;Manufacture of sugar;Herstellung von Zucker
10.82;Produzione di cacao, cioccolato, caramelle e confetterie;Manufacture of cocoa, chocolate and sugar confectionery;Herstellung von Süßwaren, ohne Dauerbackwaren
10.82.0;Produzione di cacao, cioccolato, caramelle e confetterie;Manufacture of cocoa, chocolate and sugar confectionery;Herstellung von Süßwaren, ohne Dauerbackwaren
10.82.00;Produzione di cacao, cioccolato, caramelle e confetterie;Manufacture of cocoa, chocolate and sugar confectionery;Herstellung von Süßwaren, ohne Dauerbackwaren
10.83;Lavorazione di tè e caffè;Processing of tea and coffee;Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz
10.83.0;Lavorazione di tè e caffè;Processing of tea and coffee;Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz
10.83.01;Lavorazione di tè e di altri preparati per infusi;Processing of tea and other herb infusions;Verarbeitung von Tee und anderen Präparaten für Kräutertees
10.83.02;Lavorazione di caffè;Processing of coffee;Verarbeitung von Kaffee, Herstellung von Kaffee-Ersatz
10.84;Produzione di condimenti e spezie;Manufacture of condiments and seasonings;Herstellung von Würzmitteln und Soßen
10.84.0;Produzione di condimenti e spezie;Manufacture of condiments and seasonings;Herstellung von Würzmitteln und Soßen
10.84.00;Produzione di condimenti e spezie;Manufacture of condiments and seasonings;Herstellung von Würzmitteln und Soßen
10.85;Produzione di pasti e piatti preparati;Manufacture of prepared meals and dishes;Herstellung von Fertiggerichten
10.85.0;Produzione di pasti e piatti preparati;Manufacture of prepared meals and dishes;Herstellung von Fertiggerichten
10.85.01;Produzione di pasti e piatti preparati a base di carne, inclusi pasti e piatti preparati a base di carne di volatili;Manufacture of prepared meat or poultry meals and dishes;Herstellung von Fleischfertiggerichten
10.85.02;Produzione di pasti e piatti preparati a base di pesce;Manufacture of prepared fish meals and dishes;Herstellung von Fischfertiggerichten
10.85.03;Produzione di pasti e piatti preparati a base di ortaggi;Manufacture of prepared vegetable meals and dishes;Herstellung von Gemüsefertiggerichten
10.85.04;Produzione di pizza surgelata o altrimenti conservata;Manufacture of frozen or otherwise preserved pizza;Herstellung von Fertigpizza
10.85.05;Produzione di pasti e piatti preparati a base di pasta;Manufacture of prepared pasta meals and dishes;Herstellung von Nudelfertiggerichten
10.85.09;Produzione di altri pasti e piatti preparati;Manufacture of other prepared meals and dishes;Herstellung von sonstigen Fertiggerichten
10.86;Produzione di preparati omogeneizzati e di alimenti dietetici;Manufacture of homogenised food preparations and dietetic food;Herstellung von homogenisierten und diätetischen Nahrungsmitteln
10.86.0;Produzione di preparati omogeneizzati e di alimenti dietetici;Manufacture of homogenised food preparations and dietetic food;Herstellung von homogenisierten und diätetischen Nahrungsmitteln
10.86.00;Produzione di preparati omogeneizzati e di alimenti dietetici;Manufacture of homogenised food preparations and dietetic food;Herstellung von homogenisierten und diätetischen Nahrungsmitteln
10.89;Produzione di altri prodotti alimentari n.c.a.;Manufacture of other food products n.e.c.;Herstellung von sonstigen Nahrungsmitteln a. n. g.
10.89.0;Produzione di altri prodotti alimentari n.c.a.;Manufacture of other food products n.e.c.;Herstellung von sonstigen Nahrungsmitteln a. n. g.
10.89.01;Produzione di integratori alimentari;Manufacture of food supplements;Herstellung von Nahrungsergänzungsmitteln
10.89.09;Produzione di altri prodotti alimentari vari n.c.a.;Manufacture of other various food products n.e.c.;Herstellung von allen anderen Nahrungsmitteln a. n. g.
10.9;Produzione di prodotti per l'alimentazione degli animali;Manufacture of prepared animal feeds;Herstellung von Futtermitteln
10.91;Produzione di mangimi per l'alimentazione degli animali da allevamento;Manufacture of prepared feeds for farm animals;Herstellung von Futtermitteln für Nutztiere
10.91.0;Produzione di mangimi per l'alimentazione degli animali da allevamento;Manufacture of prepared feeds for farm animals;Herstellung von Futtermitteln für Nutztiere
10.91.00;Produzione di mangimi per l'alimentazione degli animali da allevamento;Manufacture of prepared feeds for farm animals;Herstellung von Futtermitteln für Nutztiere
10.92;Produzione di prodotti per l'alimentazione degli animali da compagnia;Manufacture of prepared pet foods;Herstellung von Futtermitteln für sonstige Tiere
10.92.0;Produzione di prodotti per l'alimentazione degli animali da compagnia;Manufacture of prepared pet foods;Herstellung von Futtermitteln für sonstige Tiere
10.92.00;Produzione di prodotti per l'alimentazione degli animali da compagnia;Manufacture of prepared pet foods;Herstellung von Futtermitteln für sonstige Tiere
11;Produzione di bevande;Manufacture of beverages;Getränkeherstellung
11.0;Produzione di bevande;Manufacture of beverages;Getränkeherstellung
11.01;Distillazione, rettifica e miscelatura di alcolici;Distilling, rectifying and blending of spirits;Herstellung von Spirituosen
11.01.0;Distillazione, rettifica e miscelatura di alcolici;Distilling, rectifying and blending of spirits;Herstellung von Spirituosen
11.01.00;Distillazione, rettifica e miscelatura di alcolici;Distilling, rectifying and blending of spirits;Herstellung von Spirituosen
11.02;Produzione di vini da uve;Manufacture of wine from grape;Herstellung von Traubenwein
11.02.1;Produzione di vini, esclusi vini spumanti e altri vini speciali;Manufacture of wine of fresh grapes, other than sparkling wine and other special wines;Herstellung von Wein, ohne Schaumweine und andere Spezialweine
11.02.10;Produzione di vini, esclusi vini spumanti e altri vini speciali;Manufacture of wine of fresh grapes, other than sparkling wine and other special wines;Herstellung von Wein, ohne Schaumweine und andere Spezialweine
11.02.2;Produzione di vini spumanti e altri vini speciali;Manufacture of sparkling wine and other special wines;Herstellung von Schaumwein und anderen Spezialweinen
11.02.20;Produzione di vini spumanti e altri vini speciali;Manufacture of sparkling wine and other special wines;Herstellung von Schaumwein und anderen Spezialweinen
11.03;Produzione di sidro e di altre bevande fermentate a base di frutta;Manufacture of cider and other fermented fruit beverages;Herstellung von Apfelwein und sonstigen gegorenen Getränken aus Obst
11.03.0;Produzione di sidro e di altre bevande fermentate a base di frutta;Manufacture of cider and other fermented fruit beverages;Herstellung von Apfelwein und sonstigen gegorenen Getränken aus Obst
11.03.00;Produzione di sidro e di altre bevande fermentate a base di frutta;Manufacture of cider and other fermented fruit beverages;Herstellung von Apfelwein und sonstigen gegorenen Getränken aus Obst
11.04;Produzione di altre bevande fermentate non distillate;Manufacture of other non-distilled fermented beverages;Herstellung von Wermutwein und sonstigen aromatisierten Weinen
11.04.0;Produzione di altre bevande fermentate non distillate;Manufacture of other non-distilled fermented beverages;Herstellung von Wermutwein und sonstigen aromatisierten Weinen
11.04.00;Produzione di altre bevande fermentate non distillate;Manufacture of other non-distilled fermented beverages;Herstellung von Wermutwein und sonstigen aromatisierten Weinen
11.05;Produzione di birra;Manufacture of beer;Herstellung von Bier
11.05.0;Produzione di birra;Manufacture of beer;Herstellung von Bier
11.05.00;Produzione di birra;Manufacture of beer;Herstellung von Bier
11.06;Produzione di malto;Manufacture of malt;Herstellung von Malz
11.06.0;Produzione di malto;Manufacture of malt;Herstellung von Malz
11.06.00;Produzione di malto;Manufacture of malt;Herstellung von Malz
11.07;Produzione di bibite analcoliche e di acque in bottiglia;Manufacture of soft drinks and bottled waters;Herstellung von Erfrischungsgetränken und Mineralwässern
